X,Y,ObjectId,AQSID,CountryCode,DataSource,EPARegion,Elevation,GMTOffset,Latitude,LocalTimeString,Longitude,OZONE,OZONEPM_AQI,OZONEPM_AQI_LABEL,OZONEPM_AQI_SORT,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,PM10,PM10_AQI,PM10_AQI_LABEL,PM10_AQI_SORT,PM10_Measured,PM10_Unit,PM25,PM25_AQI,PM25_AQI_LABEL,PM25_AQI_SORT,PM25_Measured,PM25_Unit,PM_AQI,PM_AQI_LABEL,PM_AQI_SORT,ReportingArea_PipeDelimited,SiteName,StateName,Status
-13702478.3142,5561221.2964,10321993,410430009,US,Oregon Dept. of Environmental Quality,R10,72,-8,44.61569,Tue 11/10/2020 03:00 PM PST,-123.091457,,27,27,27,,ND,-999,0,,,,ND,-999,0,,4.6,27,27,27,1,UG/M3,27,27,27,Albany,Albany - Calapooia School,OR,Active
15576231.6943,4412123.017,10321994,009211010,,Japan Ministry of Environment,,0,9,36.806165,Wed 11/11/2020 08:00 AM JST,139.92367,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 009211010,,Active
-7883478.1342,5283780.4051,10321995,250094005,US,Massachusetts Dept. of Environmental Protection,R1,2.1,-5,42.814507,Tue 11/10/2020 06:00 PM EST,-70.818489,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Newburyport,Newburyport,MA,Inactive
-7882410.5803,5280107.339,10321996,250094004,US,Massachusetts Dept. of Environmental Protection,R1,0,-5,42.790298,Tue 11/10/2020 06:00 PM EST,-70.808899,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Newburyport|Lynn,NEWBURY,MA,Inactive
14813864.2804,4013031.3811,10321997,038321010,,Japan Ministry of Environment,,0,9,33.882469,Wed 11/11/2020 08:00 AM JST,133.075207,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 038321010,,Active
15535792.6629,4312225.8907,10321998,011421010,,Japan Ministry of Environment,,0,9,36.084291,Wed 11/11/2020 08:00 AM JST,139.5604,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 011421010,,Active
15042104.8588,4204061.0857,10321999,026201040,,Japan Ministry of Environment,,0,9,35.295132,Wed 11/11/2020 08:00 AM JST,135.125527,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 026201040,,Active
15039232.482,4122084.8669,10322000,028107020,,Japan Ministry of Environment,,0,9,34.691862,Wed 11/11/2020 08:00 AM JST,135.099724,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 028107020,,Active
-8801931.9495,4785644.7748,10322001,540578883,US,Maryland Department of the Environment,R3,657.3,-5,39.4452,Tue 11/10/2020 06:00 PM EST,-79.0691,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Bean,WV,Inactive
14988126.2604,4023803.5047,10322002,036361010,,Japan Ministry of Environment,,0,9,33.962766,Wed 11/11/2020 08:00 AM JST,134.640629,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 036361010,,Active
-12192872.8072,5094764.6638,10322003,840560370023,US,Wyoming Department of Environmental Quality,R8,1860.2,-7,41.55643,Tue 11/10/2020 04:00 PM MST,-109.53044,34,31,31,31,31,31,31,1,PPB,9.0,11.0,11,11,1,UG/M3,2,9,9,9,1,UG/M3,11,11,11,Green River,James Town Mobile,WY,Active
15399134.073,4162325.7872,10322004,022201090,,Japan Ministry of Environment,,0,9,34.988554,Wed 11/11/2020 08:00 AM JST,138.332775,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 022201090,AK,Active
-12228441.1656,5146760.1086,10322005,840560370025,US,Wyoming Department of Environmental Quality,R8,1930,-7,41.905004,Tue 11/10/2020 04:00 PM MST,-109.849956,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Seedskadee,Seedskadee,WY,Active
-8664954.5406,4077806.2057,10322006,371290002,US,North Carolina DEQ - Division of Air Quality,R4,4.9,-5,34.364167,Tue 11/10/2020 06:00 PM EST,-77.838611,,1,1,1,,ND,-999,0,,,,ND,-999,0,,0,1,1,1,1,UG/M3,1,1,1,New Hanover County,CASTLE H,NC,Active
-9455878.2981,3831948.7656,10322007,132150008,US,Georgia Department of Natural Resources,R4,0,-5,32.5214,Tue 11/10/2020 06:00 PM EST,-84.9436,,20,20,20,,ND,-999,1,,,,ND,-999,0,,6.8,20,20,20,1,UG/M3,20,20,20,Columbus-Phenix City - GA/AL,Columbus Airport,GA,Active
-8909700.3485,5182394.2512,10322008,420490003,US,Pennsylvania Dept. of Environmental Protection,R3,0,-5,42.1428,Tue 11/10/2020 06:00 PM EST,-80.0372,35,28,28,28,28,28,28,1,PPB,,,ND,-999,0,,4.9,18,18,18,1,UG/M3,18,18,18,Erie,Erie,PA,Active
-8678066.5294,4064898.509,10322009,371290006,US,North Carolina DEQ - Division of Air Quality,R4,5.8,-5,34.268398,Tue 11/10/2020 06:00 PM EST,-77.956398,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,NEWHANO,NC,Inactive
-9617692.31,4830967.8911,10322010,180630004,US,Indiana Dept. of Environmental Management,R5,0,-5,39.7589,Tue 11/10/2020 06:00 PM EST,-86.3972,28,20,20,20,20,20,20,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Indianapolis,Avon,IN,Active
-12479697.2713,4308941.5637,10322011,840040059999,US,National Park Service,USEPA,2124.3,-7,36.060444,Tue 11/10/2020 04:00 PM MST,-112.107028,38,36,36,36,36,36,36,1,PPB,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Grand Canyon ozone bench,AZ,Active
-8636644.7696,4299008.5628,10322012,370650099,US,North Carolina DEQ - Division of Air Quality,R4,18,-5,35.988278,Tue 11/10/2020 06:00 PM EST,-77.5843,,10,10,10,,ND,-999,0,,,,ND,-999,0,,,10,10,10,1,,10,10,10,Edgecombe County,LEGGETT,NC,Active
-11033720.7607,2200245.4815,10322013,800090061,MX,Red de Monitoreo de la Calidad del Aire de la Ciudad de Mexico,MX,2239.3,-6,19.3844,Tue 11/10/2020 05:00 PM CST,-99.1176,,,ND,-999,,ND,-999,1,,,,ND,-999,1,,,,ND,-999,0,,,ND,-999,Mexico City,Iztacalco,MX,Active
-9119826.6854,4157849.133,10322014,450830011,US,South Carolina DHEC,R4,232.1,-5,34.955601,Tue 11/10/2020 06:00 PM EST,-81.924797,,21,21,21,,ND,-999,0,,,,ND,-999,0,,6,21,21,21,1,UG/M3,21,21,21,Greenville-Spartanburg,TK Gregg,SC,Active
-6698405.4556,5803214.4256,10322015,000030311,CA,Environment Canada,CA,0,-4,46.1425,Tue 11/10/2020 07:00 PM AST,-60.1728,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,SYDNEY,CC,Inactive
-13587346.0196,4448450.261,10322016,060879990,US,Monterey Bay Unified APCD,R9,0,-8,37.067003,Tue 11/10/2020 03:00 PM PST,-122.057206,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Zayante Fire Station,CA,Inactive
-13589282.6448,4445813.4293,10322017,060879991,US,Monterey Bay Unified APCD,R9,89.7,-8,37.0481,Tue 11/10/2020 03:00 PM PST,-122.074603,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Felton Cal-Fire,CA,Inactive
-13590002.7705,4447944.9673,10322018,060879992,US,Monterey Bay Unified APCD,R9,98.2,-8,37.063381,Tue 11/10/2020 03:00 PM PST,-122.081072,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Felton SLVMS,CA,Inactive
15232014.3516,4156851.291,10322019,023224030,,Japan Ministry of Environment,,0,9,34.948254,Wed 11/11/2020 08:00 AM JST,136.831513,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 023224030,,Active
-6698405.4556,5803214.4256,10322020,000030310,CA,Environment Canada,CA,40,-4,46.1425,Tue 11/10/2020 07:00 PM AST,-60.1728,27,33,33,33,27,27,27,1,PPB,,,ND,-999,0,,8,33,33,33,1,UG/M3,33,33,33,,SYDNEY,CC,Active
15402813.7388,4155723.3088,10322021,022201060,,Japan Ministry of Environment,,0,9,34.939948,Wed 11/11/2020 08:00 AM JST,138.36583,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 022201060,AK,Active
-13594572.9922,4456664.7377,10322022,060879993,US,Monterey Bay Unified APCD,R9,147.6,-8,37.125861,Tue 11/10/2020 03:00 PM PST,-122.122127,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Boulder Creek,CA,Inactive
-10846609.1719,3809815.224,10322023,482510003,US,Texas Commission on Environmental Quality,R6,250.1,-6,32.353593,Tue 11/10/2020 05:00 PM CST,-97.436748,41,34,34,34,34,34,34,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Dallas-Fort Worth,Cleburne Airport C77,TX,Active
-13589472.7784,4450885.6907,10322024,060879994,US,Monterey Bay Unified APCD,R9,114.4,-8,37.084458,Tue 11/10/2020 03:00 PM PST,-122.076311,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Ben Lomond,CA,Inactive
15072748.7769,4134577.0552,10322025,028207030,,Japan Ministry of Environment,,0,9,34.78408,Wed 11/11/2020 08:00 AM JST,135.400806,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 028207030,,Active
-10203854.1056,5158483.2849,10322026,191130031,US,Linn Co. Public Health ,R7,0,-6,41.983334,Tue 11/10/2020 05:00 PM CST,-91.662781,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,SCOTTISH RITE,IA,Inactive
-10188727.9019,5203105.0795,10322027,191130033,US,Linn Co. Public Health ,R7,0,-6,42.2806,Tue 11/10/2020 05:00 PM CST,-91.5269,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,COGGON,IA,Active
-10879765.0143,3589514.1745,10322028,484910690,US,Capital Area Council of Governments,R6,258.6,-6,30.666508,Tue 11/10/2020 05:00 PM CST,-97.734592,38,32,32,32,32,32,32,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Austin,Lake Georgetown C690,TX,Active
-8626147.1189,4725167.1228,10322029,511071005,US,Virginia Dept. of Environmental Quality,R3,0,-5,39.024399,Tue 11/10/2020 06:00 PM EST,-77.489998,24,22,22,22,22,22,22,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Northern Virginia|Metropolitan Washington,ASHBURN,VA,Active
-11030203.0647,2208283.5814,10322030,800090057,MX,Red de Monitoreo de la Calidad del Aire de la Ciudad de Mexico,MX,2259.4,-6,19.4525,Tue 11/10/2020 05:00 PM CST,-99.086,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Mexico City,San Juan de AragÂ¢n,MX,Inactive
-8076852.7802,5190144.3995,10322031,250130008,US,Massachusetts Dept. of Environmental Protection,R1,0,-5,42.194401,Tue 11/10/2020 06:00 PM EST,-72.555603,,28,28,28,28,28,28,1,,,,ND,-999,0,,,27,27,27,1,,27,27,27,,CHICOPEE,MA,Active
-10205615.0686,5162222.8249,10322032,191130037,US,Linn Co. Public Health ,R7,0,-6,42.0083,Tue 11/10/2020 05:00 PM CST,-91.6786,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,ARMY RESERVE,IA,Inactive
15585143.4875,4224889.4577,10322033,012481160,,Japan Ministry of Environment,,0,9,35.4477,Wed 11/11/2020 08:00 AM JST,140.003726,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 012481160,,Active
-13645056.0473,5710467.3719,10322034,840410512011,US,Oregon Dept. of Environmental Quality,R10,0,-8,45.562203,Tue 11/10/2020 03:00 PM PST,-122.575624,,23,23,23,,ND,-999,0,,,,ND,-999,0,,5.7,23,23,23,1,UG/M3,23,23,23,,Portland Cully Helensview School,OR,Active
-13655671.5853,5709812.0091,10322035,840410512010,US,Oregon Dept. of Environmental Quality,R10,0,-8,45.558081,Tue 11/10/2020 03:00 PM PST,-122.670985,,27,27,27,,ND,-999,0,,,,ND,-999,0,,6.7,27,27,27,1,UG/M3,27,27,27,,Portland Humboldt School,OR,Active
-10812328.78,5605737.243,10322036,460290002,US,South Dakota Department of Environment and Natural Resources,R8,0,-6,44.89965,Tue 11/10/2020 05:00 PM CST,-97.128802,,23,23,23,23,23,23,1,,,13.0,13,13,1,,,8,8,8,1,,13,13,13,Watertown,Watertown,SD,Active
15653400.7031,4579770.2262,10322037,004206010,,Japan Ministry of Environment,,0,9,38.002438,Wed 11/11/2020 08:00 AM JST,140.616891,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 004206010,,Active
15050241.9796,4063725.3095,10322038,030201270,,Japan Ministry of Environment,,0,9,34.259688,Wed 11/11/2020 08:00 AM JST,135.198624,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 030201270,,Active
14680600.6011,4028644.2534,10322039,035207030,,Japan Ministry of Environment,,0,9,33.998825,Wed 11/11/2020 08:00 AM JST,131.878079,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 035207030,,Active
14758887.5914,4061025.9305,10322040,034202510,,Japan Ministry of Environment,,0,9,34.239644,Wed 11/11/2020 08:00 AM JST,132.581343,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 034202510,,Active
-7148570.3444,6580128.9486,10322041,000055601,CA,Canadian Air and Precipitation Monitoring Network,CA,0,-4,50.7667,Tue 11/10/2020 06:00 PM EST,-64.2167,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Mingan,CC,Inactive
-8205393.0622,5079850.8731,10322042,360790005,US,New York Dept. of Environmental Conservation,R2,0,-5,41.4561,Tue 11/10/2020 06:00 PM EST,-73.7103,,27,27,27,27,27,27,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Mt. Ninham,Mt Ninham,NY,Active
